pc,top_positive_terms,top_negative_terms
PC1,на; за; да; се; от; по; обучение; да се; които; са; като; образованието; при; не; трансформация; студентите; дигитална; или; на образованието; оценяване; проблеми; обучението; трансформация на; към; решения; акредитация; дигитална трансформация; това; че; технологии,007 017; 005 017; 012 038; 046 008; 047 110; 038 002; 000 002; 008 011; 895; 033 100; 261; 008 018; 006 014; 013 003; 012 036; 000 194; 025 057; 596; 031 074; 029 069; 554; 069 009; 367; 450; 022 049; 057 012; 012 048; 115 013; 009 031; 014 025
PC12,pages; consumer; content entire; entire pages; individual content; unauthorized; copyright; intelligence; 2024; artificial; individual; entire; artificial intelligence; content; topic; texts; links; consumer protection; rights reserved; websites; texts images; images graphics; reserved; worldwide copyright; pages protected; layout pages; protected worldwide; expressly permitted; links website; website expressly,ai; malta; educational; 000 000; educators; leaders; 000; educational leaders; use ai; module; strategy; student; aid; vision; evidence; community; ai literacy; privacy; tools; ai education; ethical; district; task force; adoption; malta ai; enabled; actions; leader; instructional; launchpad
PC13,000 000; 000; 3e; 003; med; sha pe; sha; 006; pe; 001; lo med; hi; med hi; 03; lo; 02; 004; 002; 007; pe wide; 008; hi lo; template; на; 06; 009; col; 012; wide sha; fte,mask; 1e 061e; 061e 051e; 051e 041e; 051e; 041e; 031e; 061e; 041e 031e; 031e 021e; 021e; 021e 01; false; match rate; match; 01 1e; 200 500; 020 050; 100 200; 050 100; 005 010; 050; 010 020; rate; masked; 001 002; 002 005; face; да; 500
PC14,да; се; да се; трябва; трябва да; не; решения оценяване; образованието проблеми; конференция дигитална; национална конференция; оценяване акредитация; проблеми решения; акредитация; конференция; оценяване; решения; трансформация на; национална; проблеми; които; образованието; може; на образованието; дигитална трансформация; за да; трансформация; може да; дигитална; могат; че,на; обучение; унсс; качеството; за; използване; използване на; на качеството; управление; на обучение; качеството на; образование; прилагане; прилагане на; обучение на; bg; развитие на; във; управление на; за управление; осигуряване; на унсс; дистанционно обучение; при; дистанционно; системи; обучението; системи за; дисциплини; българия
PC15,malta; intelligence; artificial; artificial intelligence; smart; design engineering; physical systems; cyber physical; smart technologies; cyber; future energy; energy design; technologies artificial; energy; engineering; ministry education; strategy; physical; ministry; integration cyber; intelligence integration; information ministry; systems future; technologies; design; future; launchpad; integration; ultimate; ultimate ai,educational; students; educators; leaders; use; educational leaders; policy council; student; module; research innovation; council; policy; content; tools; 000 000; section; risks; use ai; science research; community; digital; shall; generative; act; skills; digital skills; instructional; privacy; pages; evidence
PC16,data; common; sex; operation; case; check data; check; data design; data set; coverage; aisl0; test; implementation operation; subversive; range; set coverage; deterioration; factors; sufficiency; use case; model; design; analysis; maintaining; maintaining quality; aipl2; quality operation; accuracy; lv1; aipl1,external; external quality; quality; safety; machine learning; learning elements; elements; ai; quality use; machine; reliability; learning; guideline; setting; education; safety related; systems; site; external safety; guidelines; quality assurance; assurance; evaluation; development; https; learning based; review; related systems; items; intelligence
PC17,malta; education youth; youth sports; sports; ai; youth; strategy; digital; 31 12; digital technologies; 31; state budget; budget; ministry education; quality; 12; vision; launchpad; ministry; malta ai; ultimate ai; ultimate; pages; ai launchpad; strategy vision; op; intelligence malta; vision artificial; malta ultimate; state,training; smart; design engineering; physical systems; cyber physical; energy design; future energy; engineering; learning; smart technologies; cyber; systems; physical; technologies artificial; design; intelligence; future; artificial; artificial intelligence; energy; integration cyber; integration; intelligence integration; systems future; information ministry; students; generative; educational; scientific; generative ai
PC18,education; learning; malta; https; project; internships; org; 10; higher education; higher; www; programme; doi; smart education; technology; stem; 2023; 2019; https www; virtual; training; education training; online; process; doi org; org 10; projects; education schools; teachers; university,ministry; generative; ministry education; digital skills; generative ai; design engineering; physical systems; cyber physical; energy design; future energy; smart technologies; technologies artificial; cyber; energy; sports; use; education youth; youth sports; physical; integration cyber; youth; information ministry; ai; systems future; skills; intelligence integration; 31 12; engineering; education science; integration
PC19,generative; generative ai; australian; schools; ai tools; digital; use generative; tools; framework; intelligence schools; australian framework; learning; generative artificial; framework generative; consultation; artificial; https; intelligence; artificial intelligence; government; used; principle; brussels; consultation paper; principle aims; education; schools consultation; human; paper; stem,training; educational; leaders; educational leaders; project; france; ami; module; cma; educators; projects; professional; france 2030; future; ami cma; ministry education; ministry; expressions; risks; skills; use ai; 2030; needs; future ami; careers future; research; task force; careers; expressions skills; evidence
PC20,training; generative; generative ai; project; schools; projects; programme; france; ami; cma; france 2030; smart education; ami cma; ai tools; skills; expressions; professional; 2030; education schools; future ami; careers; careers future; anr; tools; expressions skills; skills careers; australian; use generative; support; education youth,digital; educational; government; brussels; https; educational leaders; educators; leaders; digital transformation; module; european; eu; cyber; org; doi; technologies; transformation; technology; 10; design engineering; learning; physical systems; cyber physical; policy; physical; energy design; future energy; region; smart technologies; design
PC21,test; safety; vehicle; machine learning; automated; learning; test driver; systems; driver; machine; test manager; vehicles; roads; traffic; sil; manager; testing; driver test; tested; code practice; plant; face; elements; learning elements; reliability; code; tests; safety related; driving; road,quality; external quality; education; quality use; external; common; set; programme; internal quality; use; internal; smart education; smart; brussels; 041e; 021e; 1e 061e; 061e; 051e 041e; 061e 051e; 051e; 031e 021e; 031e; 021e 01; 041e 031e; schools; sex; level; use external; 000 000
PC22,test; programme; smart; smart education; schools; vehicle; quality; malta; education schools; automated; external quality; external; test driver; driver; manager; test manager; imec; vehicles; testing; schools programme; teachers; traffic; roads; use; quality use; driver test; driven; code practice; teacher driven; digital,learning; ai; training; machine; https; sports; machine learning; education youth; youth sports; youth; org; 2020; 31 12; 2023; ministry education; doi; ministry; 31; 2019; common; 12; methodological; recommendations; brussels; intelligence; state budget; org 10; doi org; google; skills
PC23,quality; https; test; external quality; org; face; 10; external; 2020; quality use; masks; doi; 2023; 2019; 12; generative; doi org; org 10; generative ai; www; use; https doi; digital skills; sports; education youth; https www; youth sports; nist; youth; ministry education,learning; machine learning; safety; machine; 000 000; malta; 1e 061e; 031e; 021e; 021e 01; 031e 021e; 051e 041e; 061e; 061e 051e; 041e; 041e 031e; 051e; sil; technologies; process; digital; learning elements; 1e; digital technologies; elements; 01 1e; plant; 020 050; 200 500; 050 100
PC24,programme; smart education; smart; education schools; schools; safety; digital skills; imec; machine learning; schools programme; driven; research; teacher driven; fosters teacher; programme fosters; driven technological; technological innovation; fosters; team; plant; research programme; edtech; technological; machine; itec; reliability; sil; data; module; education research,quality; test; training; education; external quality; higher education; higher; vehicle; digital education; external; internships; education training; automated; quality use; ami; france; cma; test driver; driver; technologies; test manager; european; professional; ami cma; keywords; vehicles; 2030; 000 000; france 2030; teaching
PC25,face; masks; algorithms; images; malta; recognition; technologies; fnmr; face recognition; digital technologies; false; nist; students; internships; frvt; rate; algorithm; match; image; covid; use; report; using; fmr; digital; used; unmasked; match rate; nstda; masked,test; https; 021e; 021e 01; 1e 061e; 061e; 051e; 041e; 031e; 041e 031e; 061e 051e; 051e 041e; 031e 021e; vehicle; 000 000; www; 2023; education; 01; research; 01 1e; 020 050; 200 500; 1e; 050 100; https www; 002 005; 100 200; org; 050
PC26,malta; leaders; module; school; educational leaders; generative; australian; community; training; generative ai; stem; educators; privacy; task force; district; risks; 2030; strategy; safety; https; france; force; ami; machine learning; cma; leader; technology; security; france 2030; vision,ai; research; programme; smart education; recommendations; quality; methodological recommendations; methodological; instructional methodological; recommendations ai; zzso; ai zzso; test; ai systems; instructional; smart; education schools; text; noticeable; imec; education; restrictions; scientific; schools programme; brussels; digital skills; analysis; zzso machine; google instructional; driven
PC27,internships; education; common; reliability; higher; implementation; internship; higher education; internal; operation; generative; ai; generative ai; guidelines; implementation operation; safety; virtual internships; internal quality; sex; quality; training; virtual; plant safety; plant; ministry; face; education training; business; management; quality operation,use; digital technologies; https; recommendations; data; use case; instructional; methodological recommendations; methodological; text; instructional methodological; recommendations ai; zzso; ai zzso; thickness; case; technologies; quality use; school; noticeable; abnormality; set; anr; maintenance; using; projects; ai systems; external quality; stem; visual
PC28,internships; virtual; students; internship; virtual internships; malta; pilot; business; implementation; project; digital skills; model; activities; stem; ict; student; dimps; developed; australian; results; instructional; transnational; tourism; educational; companies; quality; academic; implementation virtual; text; mathematics,education; training; education training; digital education; european; ai; eu; face; ai education; aid; member states; masks; states; member; regulation; council; article; commission; policy; safety; systems; educators; law; parliament; case; algorithms; european parliament; future; brussels; ami
PC29,internships; education; virtual; internship; virtual internships; higher; higher education; use case; european; table; thickness; maintenance; use; от; programme; abnormality; case; systems; set; eu; deterioration; learning element; element; bg; wall; output; quality use; 12; visual; figure,stem; digital technologies; australian; mathematics; research; technologies; teaching; early learning; learning stem; stem initiatives; science; school; quality; chair; common; internal quality; internal; science technology; school early; scientific; teachers; initiatives; reliability; curriculum; guidelines; anr; australian curriculum; chairs; technology; face
PC30,training; learning; stem; australian; malta; ministry; vocational training; mathematics; vocational; test; education; science; learning stem; early learning; job; stem initiatives; early; ministry education; digital skills; employment; sports; government; youth; model; courses; skills training; job seekers; education youth; initiatives; school early,anr; european; projects; digital; project; reliability; eu; data; scientific; fr; chairs; digital education; evaluation; safety; guidelines; information; digital technologies; plant; france; internships; commission; submission; technologies; development; site; union; proposal; europe; internal quality; research
PC31,research; scientific; chair; internships; ai; case; anr; use case; stem; chairs; thickness; abnormality; equipment; table; maintenance; diagnosis; deterioration; activities; wall; science; learning element; use; education; element; wall thickness; quality use; output; related; pipe; aisl,educational; nstda; common; malta; artificial intelligence; artificial; instructional; intelligence; internal; text; nrct; internal quality; programme; recommendations; от; shall; methodological recommendations; instructional methodological; quality; implementation operation; recommendations ai; zzso; ai zzso; sex; noticeable; operation; check; council; ai systems; methodological
PC32,от; се; са; stem; не; че; унсс; mathematics; качеството; показатели; училища; australian; иио; early learning; learning stem; stem initiatives; ще; reliability; bg; science; или; на качеството; plant; оценка; образование; един; при; early; safety; internships,обучение; технологии; ресурси; използване; да; използване на; учебни; дигитални; образователни; интерактивни; educational; инструменти; изкуства; процес; нови; създаване; обучението; на дигитални; по изкуства; създаване на; възможности; преподавателите; мултимедиини; могат; дистанционно обучение; учебни програми; могат да; дистанционно; иновативни; за обучение
PC33,reliability; nstda; safety; plant; plant safety; nrct; guideline; ai; обучение; damage; use; digital technologies; technologies; guidelines; https; thickness; reliability evaluation; bg; reliability assessment; section; teachers; case; director; training; diagnosis; aisl; executive; field; за; company,learning; machine learning; data; research; machine; learning elements; elements; anr; scientific; malta; european; educational; от; chair; components; force; task force; student; chairs; task; national; на; privacy; digital skills; ще; funding; external; module; tools; systems
PC34,от; обучение; по; са; студентите; студенти; език; data; време; български; обучението; онлаин; обучението по; education; български език; дистанционно обучение; се; дистанционно; по време; време на; 2020; по български; използване на; стаи; учениците; използване; стая; виртуална; research; expenses,да; на; качеството; operation; образование; на качеството; качеството на; intelligence; nstda; artificial; унсс; висшите; internships; трябва; висшите училища; artificial intelligence; трябва да; висшето; висшето образование; училища; educational; на висшето; implementation; дигиталната; implementation operation; model; управление; nrct; leaders; бъде
PC35,educational; operation; transformation; от; digital transformation; implementation operation; research; process; generative; common; maintaining quality; maintaining; generative ai; sex; quality operation; leaders; educational leaders; keywords; technologies; scientific; abstract; university; educational process; chairs; sil; equipment; chair; malta; strategy; implementation,data; internships; stem; education; eu; digital education; european; mathematics; education training; states; check data; internship; nstda; stem initiatives; early learning; learning stem; check; member; guidelines; member states; virtual internships; initiatives; project; australian; recommendations; virtual; privacy; task force; coverage; educators
PC36,european; operation; eu; stem; internships; intelligence; implementation operation; task force; artificial; common; task; artificial intelligence; commission; union; implementation; force; се; regulation; обучение; australian; european union; quality operation; sex; maintaining; maintaining quality; mathematics; council; regulation eu; студентите; european parliament,data; образование; education; digital transformation; training; да; transformation; information; public; malta; bg; expenses; check data; government; училища; costs; check; design; privacy; process; висшето; org; https; doi; 2023; висшето образование; services; generative ai; висшите; higher education
PC37,nstda; project; nrct; operation; costs; expenses; learning; public; ai; housing; government; implementation operation; director; common; digital skills; nstda executive; executive; eligible; director nstda; external; annual; education; quality operation; sex; corresponding; implementation; development; maintaining; skills; maintaining quality,reliability; brussels; guidelines; plant; training; plant safety; artificial; artificial intelligence; ministry; internships; data; за; transformation; intelligence; innovation; national; guideline; school; technology; economic; university; higher; field; science; higher education; georgi; economy; application; reliability assessment; module
PC38,за; eu; instructional; operation; bg; tools; energy; обучение; ministry; https; instructional core; www; да; education training; generative ai; implementation operation; systems; plan; boe; https www; cyber; malta; government; generative; maintaining; core; learning; public; students; common,intelligence; artificial; artificial intelligence; project; brussels; data; school; по; task force; на; internships; digital technologies; force; revolution; costs; course; technologies; task; schools; intelligence education; се; expenses; digital skills; evaluation; от; law; article; district; check data; human
PC39,training; chair; nstda; task force; research; nrct; activities; task; force; education training; section; образование; action; support; work; member; scientific; от; boe; brussels; educators; eu; thematic; action plan; team; staff; costs; malta; case; digital education,project; housing; stem; за; law; article; science; france; technology; aid; ami; ai; 2020; educational; digital transformation; transformation; projects; се; cma; france 2030; risk; ami cma; law 38; 2003; 38 2003; data; expressions; november; november 17; skills
PC40,project; expenses; costs; baseline; education; plant; reliability; 00; june 30; artificial; target; transformation; artificial intelligence; current; digital transformation; intelligence; се; p173997; text; use; project p173997; turkiye; hours; national; june; equipment; operation; diagnosis; baseline current; guidelines,technologies; digital technologies; internships; nstda; ai; aid; nrct; обучение; bg; set; level; teachers; sil; external; да; 2019; teaching; 2020; образование; article; aisl; skills; schools; external quality; data; accordance; government; school; students; 17
