a_norm,count
ministry of digital transformation and  ministry of education and science of ukraine together with  working group on  development of instructional and methodological recommendations for  introduction and use of artificial intelligence technologies in general secondary education institutions,1
"ministry of economic affairs and digital transformation ,  ministry of industry , commerce and tourism and ,",1
information provided,1
"information visible , maintenance",1
initial project,1
initial tests,1
initiation of  concession procedure,1
initiative “ digital skills training programmes for workers in employment ”,1
inspectorate,1
instruments to achieve,1
integrated neighbourhood - oriented care and assistance model,1
integration of  platform,1
integration of digital skills into school curricula from  earliest stages,1
intention of  strategy,1
interested party,1
grading criteria provided for in article 33 of  order of bases that support  call for these aid,1
granting of these subsidies,1
grants,1
green certificate system,1
green economy,1
groundwork,1
"guarantees  action plans submitted with  application ,",1
form of this support,1
forms for application of artificial intelligence in education,1
formula for calculating  hourly cost for each employee participating in  project,1
formula of alternating learning and working,1
goal of  strategy,1
goal of this consortium,1
government 's objective,1
"government , aware of  difficulties that companies face in filling certain positions",1
"government , in consultation with  economic and social council",1
"government , in consultation with  sector and  competent entities",1
"government , in consultation with  stakeholders concerned",1
"government , under  leadership of hub.brussels",1
government and  private sector,1
government ’s aim,1
first deputy chairman of  policy council,1
first digital education action plan,1
first phase,1
following areas,1
following challenges,1
following data,1
"following documents invoice number or other information that allows  payment to be associated with  concept , amount and date",1
"following enhanced concerns , separate and apart from potential violation of applicable privacy laws : ● ai - enhanced products",1
following expenses article 18,1
following initiatives ÿ 62 ÿ ÿ approximate probability of occurrence for each attribute value or each case ÿ amount of training data set and,1
following objectives service,1
following points,1
federal strategy,1
female presence,1
fight against illegal evictions,1
final result,1
final version,1
final version of  op rde,1
financial audit report of  supporting documentation,1
financial balance of  brussels local authorities,1
financial justification,1
financial leasing of assets of this nature corresponding to  financeable period of  project,1
financial support measures and,1
financing of  aid granted,1
financing of  management of digital infrastructure in schools,1
financing of certain initiatives,1
first,1
"existing mechanism for a gradual composition of  rental guarantee , as organised by  housing fund",1
expenditure,1
"expense derived from  report made by  auditor , when their contribution is required ,",1
experience of  team that will form part of  chair,1
experience of  university or research center(s ) and  team that will comprise,1
expert knowledge of ict specialists at a given time point ( on concluding their training ),1
"expiry of  maximum period of six months for issuing and notifying  resolution of  procedure , as defined by article 25 of law 38/2003 , of november 17 , without a resolution having been issued and published",1
extended producer responsibility ( epr ) systems,1
extension of  structuring lines 7 ( towards forest ) and 8 ( towards evere and  sonian forest ),1
external safety mechanism,1
extract,1
factors mentioned above,1
fake methodological suggestions,1
federal government,1
european digital strategy,1
european high - performance computing joint undertaking ( eurohpc ju ),1
european parliament and  council of  european union,1
european programme for promoting quality innovative learning and teaching through new technologies and digital content opening up education,1
european student card initiative,1
european union ( eu ),1
european universities initia- tive,1
evaluation committee,1
evaluation for  final year of  action plan,1
evaluation in relation to  procedure and,1
evaluation of  criteria corresponds to  evaluation committee described in article 24 of this order of bases and,1
events,1
examples in  guidelines,1
existence of unequal starting points,1
entity in  productive sector,1
environment in which  next generations will be educated,1
environment passport,1
eoi coworking spaces network,1
equivalent document,1
ethical ai principles discussed above,1
eu 's ai law,1
"eu , under a team europe approach ,",1
eu digital skills and job coalition strategy for  coming years,1
european commission ’s digital europe programme 29,1
