pc,top_positive_terms,top_negative_terms
PC1,ai; data; digital; intelligence; development; artificial; public; research; artificial intelligence; use; systems; national; government; technology; information; innovation; new; services; technologies; sector; human; security; strategy; machine; support; based; section; shall; defense; education,unmasked unmasked; masks masked; masked medium; институциите; учебни програми; постижения; учебен процес; работят; страна на; контекста; по изкуства; съвременните; постигане на; текст; 신산업; студентите по; употреба на; бъдещите; постигане; 것이다; компютър; конкретни; материал; зависимост; висока; първо; обаче; как да; проблем; 연구
PC14,data; digital; ai; european; eu; strategy; sec; ar; ticle; ar ticle; national; innovation; defense; europe; ser; skills; artificial intelligence; digital transformation; transformation; economy; artificial; sector; inserting; intelligence; contained; sharing; striking; data sharing; public sector; states,learning; systems; decision; machine; human; information; machine learning; 000; article; law; decision making; quality; automated; risk; model; making; safety; rights; project; bias; process; liability; used; damage; based; decisions; case; algorithmic; vehicle; example
PC15,000; digital; 000 000; learning; https; machine learning; ai; systems; digital transformation; transformation; machine; training; skills; 10; program; 500; model; air; digital skills; models; quality; www; sec; 2023; org; inserting; https www; generative; army; 10 000,research; innovation; shall; government; public; sector; secretary; committee; scientific; science; uk; la; international; strategy; regulatory; federal; industry; policy; private; research innovation; law; act; development; appropriate; agencies; report; including; investment; date; plan
PC16,000; personal data; personal; protection; article; law; ai; rights; data protection; 000 000; public; research; legal; innovation; international; provisions; protection personal; controller; processing personal; regulations; principles; human rights; authority; processing; government; person; national; ministry; right; privacy,learning; machine learning; quality; models; model; machine; ar; ticle; ar ticle; systems; ser; data; training; intelligence; artificial; online; ser vices; vices; artificial intelligence; software; used; language; inf; guideline; use; skills; quality management; ed; trained; ity
PC17,000; government; uk; intelligence; artificial; artificial intelligence; public; sector; decision; making; public sector; services; gov uk; decision making; shall; 000 000; algorithmic; use; sharing; bias; regulatory; online; systems; ar; cdei; ser; ticle; ar ticle; uk government; review,https; learning; personal data; personal; education; research; machine; machine learning; science; ai; article; eu; www; european; org; pdf; training; 2019; https www; 2020; digital; 2023; contained; processing; scientific; skills; quality; 2018; protection; provision
PC18,shall; secretary; defense; national; digital; committee; science; security; ai; department; program; federal; https; research; director; later; date; information; www; learning; secretary defense; https www; data; education; appropriate; technology; cyber; administrator; science technology; gov,contained; provision; sec; european; amendment; eu; provision sec; senate amendment; amendment contained; house contained; inserting; senate; contained provision; contained similar; recedes; similar provision; house; striking; liability; similar; decision; section; regulation; new; rights; market; companies; amended; 6601; human
PC19,education; personal; personal data; skills; uk; science; people; online; students; training; school; educational; digital skills; research; decision; human; protection; processing; technology; higher; jobs; decision making; 295; higher education; rights; controller; work; making; teachers; data protection,eu; european; data; public; https; models; service; services; article; liability; europa; europa eu; open; cloud; management; administration; model; infrastructure; sharing; machine; project; digital transformation; governance; 2020; aid; transformation; europe; ec; entities; data sharing
PC20,295; 295 133; high school; smartlabs; smartlabs 2023; pnrr smartlabs; pnrr; school; 133; 2023; smart; high; shall; smart laboratories; generative; laboratories; secretary; generative ai; college; equipment; 133 90; 00; school smart; technological high; 90; services; liability; date; companies; market,research; science; sec; machine learning; machine; national; scientific; learning; development; science technology; 000; innovation; human; quality; decision; inserting; technology; public; striking; policy; institute; guideline; decision making; ethics; rights; human rights; security; guidelines; ethical; principles
PC21,sec; systems; eu; security; european; subtitle; cyber; states; safety; personal; united; personal data; human; united states; protection; health; rights; technologies; energy; risk; https; cybersecurity; privacy; ai systems; europe; technology; high; regulation; military; human rights,contained; provision; house; senate; amendment; public; provision sec; shall; senate amendment; 000; amendment contained; house contained; contained similar; recedes; contained provision; secretary; similar provision; article; ai; similar; government; 6601; uk; education; data; house recedes; conferees; public sector; paragraph; service
PC22,295; 295 133; public; high school; smartlabs; smartlabs 2023; pnrr smartlabs; pnrr; 133; school; national; sec; 2023; smart laboratories; government; smart; laboratories; research; high; college; 133 90; machine; public sector; school smart; technological high; 00; science; translated; machine translated; translated google,skills; digital; shall; secretary; european; personal; economy; eu; models; personal data; market; liability; jobs; new; companies; digital skills; growth; training; europe; states; vietnam; 2018; business; workers; global; labour; damage; digital economy; future; united
PC23,sec; ai; public; personal data; personal; uk; government; generative; article; generative ai; service; subtitle; la; sector; services; business; companies; www; processing; ar; ser; https www; ticle; ar ticle; gov; online; machine; authority; controller; application,european; eu; research; decision; human; digital; rights; systems; europe; secretary; decision making; commission; europa; making; europa eu; human rights; horizon; 000; ec; defense; 295; bias; 2020; risk; european commission; algorithmic; ai systems; data; 295 133; ec europa
PC24,sec; education; skills; training; data; european; eu; decision; research; digital skills; students; liability; article; decision making; project; bias; digital; making; educational; programme; subtitle; algorithmic; review; program; members; higher education; higher; artificial; artificial intelligence; study,personal; personal data; security; technology; systems; technologies; energy; global; development; contained; cyber; infrastructure; production; privacy; industrial; manufacturing; industry; provision; processing; house; protection; https; senate; information; growth; economic; machine; amendment; australia; national
PC25,health; care; medical; information; healthcare; research; services; patient; health care; patients; education; social; systems; https; access; people; service; ministry; clinical; digital health; health data; electronic; public; health information; treatment; social care; diseases; population; human; health social,machine learning; learning; uk; sec; machine; innovation; models; regulatory; companies; model; industrial; economy; quality; government; guideline; united; states; industry; investment; united states; growth; quality management; gov uk; article; bias; learning quality; economic; algorithmic; global; businesses
PC26,research; liability; digital; del; damage; uk; article; servicio; health; pcm; nacional; transformacion; transformacion digital; vehicle; indicador; gobierno; science; innovation; del servicio; caused; person; systems; technology; damage caused; vehicles; national; secretaria; fault; gobierno transformacion; del sistema,la; education; training; que; generative; el; generative ai; plan; skills; https; brussels; governance; rights; translated; machine translated; translated google; en; social; public; google; development; du; human; se; human rights; donnees; oecd; employment; ou; le
PC27,models; research; generative; generative ai; personal data; model; language; project; personal; foundation models; foundation; projects; processing; decision; https; companies; ai models; scientific; del; large; decision making; bias; defense; making; funding; pcm; information; program; www; content,liability; damage; learning; education; data; machine learning; quality; skills; national; 2019; science; caused; la; article; law; 2018; states; guideline; science technology; quality management; standards; safety; damage caused; united; technology; civil; sharing; learning quality; health; australia
PC28,health; quality; personal data; personal; machine learning; uk; care; defense; machine; learning; ai; secretary; shall; sector; https; eu; project; healthcare; medical; processing; plan; decision; military; brussels; controller; secretary defense; strategy; gov uk; guideline; https www,generative; models; generative ai; security; information; rights; research; online; science; foundation; human; united; technology; human rights; united states; states; foundation models; language; federal; content; privacy; data; open; 2019; cyber; users; sec; australia; ser; australian
PC29,liability; damage; la; systems; du; vehicle; research; donnees; ou; le; caractere; traitement; caractere personnel; donnees caractere; des; caused; vehicles; damage caused; que; cyber; uk; les; personne; article; skills; fault; personnel; training; education; du traitement,del; health; servicio; 2019; rights; united; 2018; states; nacional; transformacion digital; transformacion; united states; care; indicador; human; human rights; quality; del servicio; gobierno; machine learning; machine; san; jose; pcm; international; social; learning; san jose; generative; countries
PC30,decision; decision making; making; defense; digital; human; research; la; algorithmic; automated; 2018; 2019; bias; decisions; san; transformation; technologies; digital transformation; jose; systems; san jose; algorithmic decision; publication; processing; bias algorithmic; du; review bias; automated decision; algorithms; program,online; generative; generative ai; online targeting; targeting; information; liability; content; del; damage; education; 000; training; security; quality; servicio; risk; risks; health; government; regulatory; privacy; transformacion digital; transformacion; users; policy; brussels; indicador; nacional; ministry
PC31,health; generative; generative ai; models; european; care; machine learning; la; science; research; du; liability; government; services; foundation models; model; donnees; foundation; ou; digital; personal; innovation; online; medical; uk; guideline; 000; quality; le; caractere,systems; education; https; ai systems; skills; www; del; development; https www; vehicle; data; vehicles; training; automated; plan; aircraft; educational; traffic; air; energy; org; human; ministry; project; servicio; nacional; pdf; transport; driving; students
PC32,online; online targeting; targeting; regulatory; uk; regulation; project; eu; platforms; protection; risk; application; business; users; regulators; defense; content; regulator; san; jose; publication; targeting final; requirements; san jose; companies; report recommendations; assessment; sandbox; advertising; programme,liability; damage; decision; generative; generative ai; decision making; public; government; making; human; united; automated; united states; caused; https; states; models; damage caused; language; person; sector; vehicle; fault; science; cc; republic; liable; ministry; human rights; strict liability
PC33,du; donnees; ou; le; traitement; caractere; caractere personnel; des; donnees caractere; del; les; personne; du traitement; personnel; et; defense; generative; servicio; generative ai; responsable du; responsable; nacional; transformacion digital; transformacion; des donnees; concernee; une; personne concernee; indicador; la personne,el; que; se; las; digital transformation; en; transformation; united; shall; research; service; united states; una; en el; digital; states; por; como; committee; indicator; lo; es; liability; model; models; members; mas; sec; 000; damage
PC34,defense; generative; generative ai; ministry; department; liability; national; department defense; secretary defense; lowprop; fiscal year; fiscal; technology; damage; subsection; inserting; cyber; energy; national defense; office; governance; law; innovation; paragraph; secretary; act fiscal; year; striking; security; defense authorization,united; states; united states; coast guard; coast; guard; du; research; title; donnees; ou; code; states code; vessel; le; traitement; caractere; caractere personnel; donnees caractere; des; committee; administrator; service; transportation; federal; et; les; personne; services; machine
PC35,government; information; models; federal; education; australia; australian; decision; technology; agencies; foundation; services; agency; 000; personal; standards; eu; learning; management; business; foundation models; office; personal data; support; administration; local; decision making; european; making; language,online; scientific; research; data; online targeting; people; targeting; liability; systems; damage; google; translated; machine translated; translated google; social; uk; defense; indicator; force; serbia; transformation; ai systems; digital transformation; society; science; amakuru; 2019; risks; generative; air
PC36,generative; generative ai; air; science; aircraft; force; vehicle; shall; safety; administrator; service; lowprop; traffic; vehicles; automated; air force; scientific; eu; aviation; sec; serbia; space; ec; transportation; committee; driving; transport; program; mobility; indicator,defense; states; united; security; united states; models; damage; liability; health; law; article; national; cyber; 000; training; model; online; state; ministry; aid; computing; project; military; language; rights; foundation models; department; foundation; human rights; ser
PC37,lowprop; lowprop lowprop; health; digital; data; regulatory; zero lowprop; lowprop zero; australia; governance; risk; zero; innovation; security; australian; framework; project; risks; model; sec; strategy; principles; care; economy; 2023; ser; research; vietnam; digital economy; applicant,public; amakuru; european; eu; services; service; online; systems; defense; personal; public sector; sector; personal data; cyangwa; online targeting; targeting; mu; bwite; private; people; vehicle; force; administration; amakuru bwite; computing; automated; human; law; education; language
PC38,amakuru; generative; generative ai; health; cyangwa; mu; uk; bwite; models; development; amakuru bwite; bias; force; air; training; international; umugenzuzi amakuru; umugenzuzi; ku; strategy; algorithmic; research; protection; care; nyiri; ubwite; gov uk; nyiri ubwite; san; government,lowprop; science; public; information; lowprop lowprop; people; online; technology; australia; australian; companies; services; sector; public sector; ministry; human; report; year; zero lowprop; act; project; lowprop zero; targeting; online targeting; ai; science technology; 2020; service; human rights; figure
PC39,amakuru; cyangwa; mu; bwite; models; amakuru bwite; regulatory; umugenzuzi amakuru; umugenzuzi; ku; public; australia; nyiri; ubwite; nyiri ubwite; foundation; science; language; foundation models; australian; utunganya; amakuru cyangwa; utunganya amakuru; model; sec; rights; urwego; innovation; cyangwa utunganya; bw,generative; generative ai; ministry; security; decision; states; uk; online; european; decision making; united; united states; gov uk; online targeting; targeting; cyber; systems; bias; republic; infrastructure; national; making; eu; education; vehicle; algorithmic; automated; machine; energy; bias algorithmic
PC40,models; force; foundation models; foundation; air; air force; model; aircraft; regulatory; space; education; public; training; ai foundation; ai models; health; space force; sector; germany; innovation; large ai; large; models germany; regulation; inserting; science; 2019; public sector; governance; sandbox,amakuru; cyangwa; generative; mu; generative ai; bwite; project; amakuru bwite; umugenzuzi amakuru; umugenzuzi; ku; digital; nyiri; ubwite; nyiri ubwite; human; projects; research; utunganya; amakuru cyangwa; utunganya amakuru; 000; data; united states; united; content; online; states; urwego; section
