pc,top_positive_terms,top_negative_terms
PC1,ai; data; digital; research; education; intelligence; artificial; development; artificial intelligence; use; national; public; technology; systems; government; defense; skills; training; information; sec; learning; innovation; science; new; assessment; shall; technologies; support; 10; machine,있도록; 수 있도록; 지원; се; 등; 산업혁명; 차 산업혁명; 대학; 수; 위한; 및; 269 000; 000 335; 550 000; 991 000; 016 000; 000 112; incremento del; 000 81; 000 145; 000 319; 376 000; 833 000; 000 272; 923 000; 000 202; 449 000; 774 000; 000 152; 581 000
PC12,sec; research; quality; innovation; science; scientific; machine learning; machine; research innovation; development; projects; ministry; republic; serbia; external; researchers; external quality; project; subtitle; learning; funding; activities; republic serbia; health; industry; support; program; universities; science technology; scientific research,digital; 000; artificial; intelligence; artificial intelligence; skills; digital skills; https; secretary; defense; ai; www; https www; senate; secretary defense; contained; house; subsection; org; provision; rights; personal data; generative; personal; pdf; digital transformation; section; transformation; protection; amendment
PC13,https; quality; learning; machine learning; www; https www; machine; external quality; uk; gov; external; org; safety; pdf; learning elements; gov uk; systems; quality use; use; decision; elements; risk; review; 2019; plant; internal quality; 2018; requirements; australian; com,data; personal data; personal; research; protection; ai; processing; ministry; data protection; protection personal; innovation; national; processing personal; education; development; public; institutions; controller; defense; sector; strategy; research innovation; private; higher education; secretary; universities; artificial; intelligence; shall; companies
PC14,contained; provision; amendment; senate; house; provision sec; data; defense; amendment contained; senate amendment; house contained; contained similar; recedes; similar provision; contained provision; quality; learning; machine learning; similar; 6601; research; conferees; machine; senate recedes; house recedes; secretary defense; provision house; secretary; require; provision senate,sec; section; coast guard; coast; subsection; inserting; guard; digital; title; striking; amended; shall; authority; paragraph; rights; united; states; united states; law; act; general; vessel; code; federal; following; subtitle; committee; code amended; decision; human rights
PC15,data; learning; education; uk; students; shall; machine learning; quality; skills; subsection; https; science; training; inserting; section; coast guard; coast; educational; paragraph; striking; gov uk; personal data; gov; artificial; www; guard; intelligence; data science; personal; teachers,provision; contained; rights; decision; assessment; digital; law; ministry; article; amendment; human rights; applicant; risk; human; decision making; liability; senate; provision sec; european; legal; public; house; regulation; amendment contained; senate amendment; house contained; making; contained similar; recedes; eu
PC16,education; personal data; personal; students; educational; law; https; article; protection; ai; science; teachers; processing; higher; higher education; learning; school; teaching; data protection; org; rights; protection personal; ministry; contained; university; schools; training; scientific; 2020; section,data; digital; government; uk; sector; public; intelligence; artificial; services; defense; artificial intelligence; sharing; cyber; public sector; infrastructure; security; gov uk; health; data sharing; 000; strategy; industry; companies; businesses; innovation; economy; investment; solutions; use; cybersecurity
PC17,digital; ai; quality; machine; machine learning; personal data; https; digital skills; national; european; external quality; personal; external; eu; transformation; digital transformation; university; ministry; la; learning elements; protection; defense; 2020; google; translated; translated google; machine translated; security; article; el,education; decision; students; decision making; making; artificial; artificial intelligence; people; intelligence; uk; educational; training; human; schools; school; automated; algorithmic; government; higher; decisions; work; student; teachers; bias; recognition; applicant; support; used; rights; children
PC18,defense; australian; technology; australia; science; rights; human; human rights; cyber; university; department; privacy; security; information; dp; director; institute; national; professor; research; submissions; digital; science technology; cybersecurity; office; secretary; systems; secretary defense; protection; department defense,section; uk; article; coast guard; coast; provision; data; inserting; contained; public; eu; artificial; title; artificial intelligence; guard; european; sector; code; aid; striking; https; programme; amended; liability; amendment; companies; states; states code; gov uk; senate
PC19,ministry; defense; https; education; www; https www; secretary; educational; ministry education; implementation; program; pilot; secretary defense; gov; department defense; measure; cyber; org; department; gov uk; pilot program; activities; information; public; shall; pdf; assessment; programs; generative; sports,australia; australian; skills; united; coast guard; coast; states; united states; university; guard; rights; inserting; dp; section; human rights; human; contained; title; striking; amended; new; submissions; industry; machine learning; provision; amendment; quality; digital skills; states code; technology
PC20,ministry; health; coast guard; coast; government; public; guard; ministry education; generative; education; generative ai; use; services; care; inserting; development; administration; educational; provision; data; senate; republic; contained; sports; striking; house; service; social; united; amended,skills; defense; applicant; assessment; idps; level; training; authority; tarf; recognition; digital skills; taaf; assessment level; programme; research; personal data; article; mdia; personal; official recognition; application; secretary defense; jobs; processing; eu; secretary; ireland; university; technical expert; department defense
PC21,applicant; research; authority; digital; idps; science; recognition; tarf; taaf; ministry; assessment level; section; level; assessment; data; education; mdia; official recognition; national; digital skills; inserting; research innovation; act; technology; technical expert; innovation; contained; uk; systems; provision,defense; health; armed; brussels; military; services; forces; training; people; human; secretary; armed forces; google; translated; translated google; machine translated; care; australia; personal data; social; companies; personal; economic; machine; number; human rights; 2018; australian; rights; secretary defense
PC22,university; coast guard; coast; health; guard; digital; professor; information; la; project; applicant; care; application; generative; institute; director; services; el; nairr; nsf; language; generative ai; shall; center; students; recognition; medical; applications; school; access,education; european; defense; eu; ministry; quality; uk; innovation; higher; risk; higher education; decision; section; decision making; research innovation; regulation; inserting; skills; making; protection; data protection; striking; external quality; europe; government; horizon; impact; liability; rights; external
PC23,coast guard; coast; guard; assessment; committee; risk; report; https; security; eu; european; impact; transportation; serbia; development; states; vessel; republic; united; risks; personal data; systems; science; level; united states; org; personal; republic serbia; commandant; protection,section; law; university; inserting; public; article; striking; amended; decision; defense; government; title; australian; act; aid; professor; fiscal year; uk; decision making; fiscal; administrative; ai; sec; subsection; director; title 10; act fiscal; public law; making; digital
PC24,research; european; eu; systems; liability; inserting; digital; risk; scientific; data; la; health; striking; models; el; horizon; en; europe; section; amended; 2020; methods; ai systems; states; used; las; title; technologies; tools; educational,ministry; government; uk; quality; shall; personal data; ai; applicant; authority; personal; external quality; public; training; skills; industry; machine learning; committee; coast guard; coast; gov uk; sector; external; guard; machine; australia; australian; idps; report; strategy; learning elements
PC25,research; decision; coast guard; coast; european; guard; digital; digital skills; eu; decision making; liability; making; shall; skills; armed; data; report; health; university; research innovation; secretary; committee; article; care; program; pilot program; members; pilot; council; uk,security; united; united states; inserting; technology; states; recognition; cyber; striking; applicant; amended; idps; development; personal data; personal; https; title; section; technologies; information; tarf; country; china; taaf; vietnam; authority; 2017; global; infrastructure; org
PC26,ministry; health; data; applicant; australia; authority; idps; australian; recognition; level; tarf; european; taaf; armed; eu; assessment level; military; care; liability; defense; generative; medical; ministry education; 2019; generative ai; forces; armed forces; assessment; official recognition; 2020,research; federal; training; security; nsf; uk; nairr; decision; activities; national; gov; agencies; public; programs; plan; decision making; skills; aid; human; https www; aircraft; scientific; digital skills; promote; gov uk; www; systems; algorithmic; privacy; entity
PC27,la; el; las; en; del; que; los; para; health; como; en el; decision; transformacion; science; en la; transformacion digital; nacional; una; decision making; para la; principal; making; se; ministry; digitales; higher; liability; care; higher education; people,generative; generative ai; australian; australia; data; dp; european; eu; project; students; schools; submissions; teachers; aid; states; united; united states; tools; educational; teaching; dp submissions; technologies; privacy; digital technologies; boe; submission; security; cyber; 2020; student
PC28,health; liability; university; science; damage; professor; skills; ministry; care; director; medical; security; systems; national; cyber; caused; article; liable; people; damage caused; risk; healthcare; digital skills; law; social; cybersecurity; president; children; institute; https,la; generative; generative ai; el; australian; australia; las; en; del; human rights; dp; que; rights; research; los; government; submissions; para; como; serbia; project; schools; students; program; projects; republic; dp submissions; en el; australian government; transformacion
PC29,liability; education; damage; la; eu; article; australia; security; civil; liable; australian; federal; european; caused; damage caused; el; safety; teachers; standards; government; educational; schools; fault; rules; las; higher education; higher; cyber; vicarious; en,decision; serbia; decision making; making; human; science; scientific; republic serbia; republic; skills; digital skills; inserting; digital; bias; algorithmic; university; striking; automated; algorithms; decisions; development; people; machine; google; automated decision; measure; machine translated; translated; translated google; scientific research
PC30,ministry; skills; cyber; generative; generative ai; decision; liability; data; automated; la; ministry education; cybersecurity; digital skills; decision making; article; industry; science; making; serbia; el; republic; damage; vietnam; jobs; coast guard; economy; coast; guard; training; workers,health; public; military; armed; armed forces; forces; research; services; members; care; recognition; education; quality; educational; higher education; medical; policy; rights; members armed; idps; higher; service; ethics; applicant; institutions; government; tarf; brussels; digital; personal data
PC31,generative; generative ai; uk; research; personal; personal data; government; liability; use generative; states; united; innovation; digital; united states; tools; research innovation; ai tools; ireland; policy; protection; damage; impact; students; programme; learning; protection personal; professor; director; canada; online,data; australia; training; australian; dp; program; human rights; human; submissions; education; development; programs; 2020; rights; pilot; dp submissions; standards; 2019; trustworthy; project; submission; https; management; trustworthy ai; activities; vocational; pilot program; ai; inserting; ethics
PC32,research; ministry; health; https; pilot; personal data; processing; program; risk; personal; shall; innovation; industry; org; nairr; pilot program; aircraft; australia; nsf; medical; air; funding; australian; services; www; research innovation; impact; section; federal; systems,university; professor; serbia; republic; united; states; data; cyber; united states; uk; science; scientific; liability; republic serbia; defense; school; ethics; law; director; sharing; ethical; gov uk; data sharing; public; european; trust; la; institute; educational; public sector
PC33,skills; data; training; generative; generative ai; science; digital skills; risk; armed; ministry; health; united; armed forces; united states; forces; ethics; states; workers; federal; members; security; policy; scientific; 2023; privacy; financial; affairs; people; shall; vocational,coast guard; coast; guard; defense; personal data; technologies; decision; personal; uk; automated; decision making; liability; teachers; educational; learning; making; processing; digital; infrastructure; digital technologies; protection; fiscal; fiscal year; students; public; cyber; automated decision; teaching; protection personal; act fiscal
PC34,liability; serbia; damage; science; republic serbia; republic; liable; scientific; caused; development; program; damage caused; digital; shall; yes; fault; scientific research; vicarious; person; vicarious liability; innovation; technological development; mpntr; aircraft; implementation; australia; measure; uk; pilot; liable damage,ministry; university; decision; european; states; united states; united; decision making; eu; making; automated; education; regulation; security; finland; cyber; europe; automated decision; training; professor; military; universities; aid; affairs; learning; information; administrative; norway; horizon; la
PC35,uk; risk; programme; russian; digital; university; professor; educational; russian federation; aircraft; federation; air; risks; personal data; impact; project; industry; personal; school; ministry; digital technologies; students; business; measure; administrator; minister; gov uk; director; bias; assessment,generative; public; liability; generative ai; cyber; training; cybersecurity; human; recognition; skills; national; rights; research; damage; https; guard; program; nairr; coast guard; coast; data; pilot; human rights; authority; security; defense; private; sector; applicant; pilot program
PC36,digital elements; mity; conf mity; cybersecur; conf; cybersecur ity; aircraft; air; elements; generative; products; science; ity; force; products digital; generative ai; product; mity assessment; higher; higher education; program; automated; regulation; requirements; ity requirements; 2024; product digital; pilot; essential cybersecur; aviation,ar; cyber; ticle; ar ticle; health; security; risk; commission; ministry; ser; learning; online; project; super; visor; super visor; ser vices; vices; skills; cybersecurity; paragraph; care; measures; red; plan; digital skills; coast guard; coast; platf; european
PC37,ministry; uk; generative; generative ai; programme; guard; coast guard; industry; coast; risk; inserting; defense; health; privacy; striking; cyber; facial; mity; conf mity; facial recognition; risks; conf; digital elements; training; universities; project; cybersecur; cybersecur ity; design; program,shall; learning; decision; act; sec; automated; federal; republic; european; data; 2018; committee; serbia; decision making; making; strategy; education; bank; report; ar; ai; republic serbia; ticle; ar ticle; china; date; financial; oecd; commission; educational
PC38,united; united states; states; liability; russian; research; decision; australia; health; australian; damage; russian federation; forces; military; decision making; federation; development; making; security; armed; armed forces; liable; applicant; caused; strategy; processing; china; damage caused; digital; government,public; european; professor; policy; director; programme; pilot; university; nairr; facial; eu; commission; facial recognition; defense; use; 2019; finland; online; program; law; board; doi; pilot program; society; section; aircraft; safety; 2018; ethics; school
PC39,cyber; program; pilot; cybersecurity; security; serbia; programme; pilot program; information; republic; project; federal; russian; training; republic serbia; eu; decision; russian federation; european; federation; institute; health; programs; projects; industry; nsf; decision making; university; institutions; director,ministry; force; defense; article; technology; data; innovation; air; human; rights; research; aid; science; people; recognition; air force; facial; plan; boe; technologies; facial recognition; research innovation; human rights; report; transformation; aircraft; use; science technology; economic; beneficiary
PC40,force; ministry; nairr; air; training; government; brussels; task force; national; liability; aircraft; project; european; strategy; air force; task; learning; plan; nsf; support; resources; space; civil; personal data; projects; eu; action; policy; report; commission,higher; education; risk; higher education; vietnam; research; cyber; uk; security; russian; public; cybersecurity; russian federation; article; systems; services; transformation; risks; information; industrial; generative; doctoral; digital; quality; ai systems; generative ai; innovation; federation; economy; universities
