pc,top_positive_terms,top_negative_terms
PC1,на; за; да; се; от; по; обучение; да се; които; са; като; образованието; при; не; трансформация; студентите; дигитална; или; на образованието; оценяване; проблеми; обучението; трансформация на; към; решения; акредитация; дигитална трансформация; това; че; технологии,missions regulations; employees section; contradicting regulations; appoint increase; recruit; recruit appoint; achieve results; results accordance; increase salary; wages punish; hub value; 30 00; indicators 12; target 30; leave position; orders performing; persons qualified; deputy directors; qualified prohibited; section 37; appointing deputy; shall responsible; set cabinet; nstda according; nstda nstda; inin; tr inin; criminal; agency state; final judgment
PC12,malta; education youth; youth sports; sports; youth; ai; strategy; digital; 31 12; 31; digital technologies; state budget; budget; ministry education; ministry; 12; vision; launchpad; ultimate; ultimate ai; malta ai; ai launchpad; op; strategy vision; pages; source; state; vision artificial; intelligence malta; malta ultimate,training; learning; smart; design engineering; physical systems; cyber physical; engineering; systems; energy design; future energy; cyber; smart technologies; design; physical; future; technologies artificial; intelligence; energy; artificial; integration cyber; integration; artificial intelligence; intelligence integration; systems future; information ministry; educational; students; https; scientific; project
PC13,education; https; learning; malta; org; doi; 10; www; doi org; org 10; 2023; higher; higher education; internships; https doi; https www; project; technology; stem; 2019; online; virtual; smart education; 2024; programme; com; journal; education training; university; bg,ministry; ministry education; digital skills; generative; design engineering; generative ai; cyber physical; physical systems; future energy; energy design; smart technologies; technologies artificial; energy; cyber; physical; integration cyber; skills; information ministry; sports; systems future; youth sports; education youth; intelligence integration; use; systems; engineering; youth; design; integration; education science
PC14,generative; generative ai; australian; digital; ai tools; schools; use generative; framework; government; https; tools; artificial; intelligence; intelligence schools; artificial intelligence; brussels; australian framework; generative artificial; framework generative; consultation; org; doi; human; principle; used; consultation paper; schools consultation; principle aims; european; doi org,training; project; educational; france; ami; cma; projects; leaders; france 2030; ami cma; professional; educational leaders; expressions; 2030; future; future ami; module; careers; careers future; educators; expressions skills; needs; skills careers; anr; research; professions; skills; courses; attractiveness; pages
PC15,generative; generative ai; training; schools; project; programme; projects; ai tools; france; ami; cma; smart education; australian; france 2030; ami cma; tools; use generative; education schools; expressions; 2030; professional; anr; skills; intelligence schools; careers; future ami; framework; careers future; used; australian framework,educational; digital; educational leaders; government; leaders; educators; module; brussels; cyber; design engineering; physical systems; cyber physical; future energy; energy design; physical; digital transformation; smart technologies; energy; https; risks; technologies artificial; design; technologies; use ai; policy; doi; eu; integration; integration cyber; task force
PC16,https; org; training; doi; sports; education youth; youth sports; 2023; youth; doi org; org 10; ai; 10; 12; https doi; 31 12; ministry education; ministry; 31; www; skills; 2020; state budget; 2019; budget; https www; bg; intelligence; retrieved; digital skills,programme; smart; malta; smart education; schools; education schools; teachers; technologies; digital; schools programme; imec; digital technologies; driven; students; innovation; teacher driven; technological; process; fosters teacher; programme fosters; driven technological; technological innovation; fosters; strategy; education; research programme; digital education; solutions; pages; education training
PC17,programme; smart education; https; schools; smart; education schools; digital skills; leaders; educational leaders; imec; module; org; schools programme; team; research; driven; edtech; 10; www; community; teacher driven; doi; fosters teacher; programme fosters; risks; driven technological; district; educators; task force; technological innovation,learning; internships; technologies; training; systems; digital technologies; ai systems; higher; recommendations; higher education; methodological recommendations; instructional methodological; keywords; recommendations ai; zzso; digital education; ai zzso; teaching; abstract; methodological; education; text; virtual; education training; process; using; environment; machine; restrictions; digital
PC18,programme; ai; smart education; research; smart; education schools; recommendations; digital skills; methodological; methodological recommendations; instructional methodological; recommendations ai; zzso; ai zzso; imec; ai systems; instructional; schools programme; text; noticeable; brussels; driven; scientific; teacher; teacher driven; restrictions; fosters teacher; fosters; programme fosters; figure,malta; training; generative; leaders; generative ai; module; australian; school; educational leaders; stem; community; 2030; france; educators; ami; privacy; risks; strategy; cma; task force; france 2030; future; force; district; ami cma; framework; vision; https; leader; technologies
PC19,education; training; ai; education training; digital education; european; eu; ai education; brussels; quality; states; member states; article; aid; challenges; regulation; member; educators; higher education; commission; learners; human; action plan; law; recovery; policy; parliament; higher; approaches; crisis,internships; students; malta; virtual; project; internship; virtual internships; technologies; text; pilot; digital technologies; business; digital skills; using; information; instructional; nstda; model; nrct; data; restrictions; school; noticeable; anr; https; student; generation; digital; language; methodological
PC20,internships; internship; virtual; virtual internships; higher; higher education; education; generative; generative ai; business; pilot; academic; model; ministry; transnational; implementation; dimps; presented; georgi; related; benefits; ministry education; activities; pandemic; implementation virtual; companies; developed; students; studies; fig,digital technologies; technologies; stem; school; digital; teachers; teaching; instructional; https; mathematics; france; schools; projects; ami; nstda; anr; methodological recommendations; australian; recommendations; machine; methodological; instructional methodological; machine translated; translated google; recommendations ai; translated; cma; text; zzso; google
PC21,stem; australian; mathematics; learning; early learning; learning stem; stem initiatives; training; science; early; school early; initiatives; australian curriculum; ai; curriculum; science technology; government; school; australian government; technology engineering; ministry; university; teaching; vocational training; mathematics stem; engineering mathematics; vocational; gov au; technology; education australian,european; eu; data; project; anr; digital education; digital; от; projects; commission; systems; council; member; europe; union; nstda; european union; member states; information; education training; france; generative ai; use; committee; fr; internships; parliament; european commission; generative; regulation
PC22,research; scientific; anr; chair; data; chairs; projects; proposal; fr; digital; proposals; criterion; ai chairs; dissemination; results; digital technologies; coordinator; activities; proposed; funding; scientific coordinator; european; science; 2019 edition; thematic; stem; information; researchers; analysis; submission,training; nstda; malta; programme; shall; education; nrct; smart education; text; recommendations; smart; law; ministry; instructional; methodological recommendations; article; instructional methodological; teacher; recommendations ai; noticeable; zzso; ai zzso; ai systems; education schools; vocational; director; educational; section; systems; doi
PC23,от; се; са; не; че; показатели; училища; качеството; образование; унсс; ще; или; оценка; на качеството; при; това; качеството на; един; през; до; българия; иио; training; висшите; висшите училища; за; но; анализ; повече; research,обучение; да; технологии; ресурси; използване; използване на; учебни; дигитални; образователни; интерактивни; изкуства; european; създаване; на дигитални; процес; по изкуства; инструменти; обучението; нови; създаване на; преподавателите; мултимедиини; учебни програми; дистанционно обучение; дистанционно; умения; могат; образователни технологии; възможности; на студентите
PC24,от; обучение; по; са; stem; european; ai; студенти; eu; студентите; език; български; онлаин; време; обучението; internships; bg; digital education; български език; по време; време на; mathematics; обучението по; по български; дистанционно обучение; дистанционно; учениците; states; 2020; стаи,да; на; educational; artificial; качеството; intelligence; artificial intelligence; transformation; на качеството; digital transformation; качеството на; трябва; process; malta; трябва да; doi; унсс; образование; висшите; висшите училища; doi org; org 10; https doi; keywords; abstract; training; висшето; висшето образование; org; educational process
PC25,european; internships; stem; eu; на; mathematics; да; commission; science; union; australian; regulation; learning stem; early learning; stem initiatives; internship; european union; качеството; council; virtual internships; europe; образование; early; national; parliament; initiatives; на качеството; regulation eu; european parliament; science technology,по; обучение; nstda; от; educational; nrct; research; training; process; digital transformation; transformation; студентите; са; scientific; generative; public; technologies; abstract; section; digital; keywords; doi; generative ai; обучението; студенти; digital technologies; malta; време; език; chair
PC26,nstda; ai; nrct; internships; digital technologies; technologies; section; project; executive; director; nstda executive; literacy; https; committee; ai literacy; образование; director nstda; teaching; executive committee; да; internship; digital; virtual internships; housing; teachers; ai education; education; expenses; government; shall,data; educational; malta; national; research; artificial; module; artificial intelligence; student; text; intelligence; innovation; transformation; privacy; act; instructional; science; tools; noticeable; european; language; digital transformation; technology; от; security; community; methodological recommendations; instructional methodological; generation; university
PC27,intelligence; artificial; artificial intelligence; internships; educational; се; nstda; project; skills; aid; leaders; digital skills; intelligence education; article; task force; revolution; australian; educational leaders; internship; accordance; nrct; task; 2024; force; school; human; course; application; virtual; студентите,bg; training; образование; data; https; да; www; литература; cyber; https www; education training; information; tools; boe; used; технологии; privacy; 2022; malta; systems; училища; висшето; security; 04; cyber physical; physical systems; discrimination; висшето образование; health; energy
PC28,data; expenses; costs; project; learning; education; privacy; health; hours; security; intelligence; nstda; digital skills; training; public; education training; evidence; artificial; information; student; task force; artificial intelligence; eligible; access; housing; annual; services; digital education; nrct; corresponding,transformation; digital transformation; educational; ai; process; brussels; digital; aid; leaders; internships; france; ami; bg; economic; cma; region; educational leaders; chairs; economy; educational process; generative; ami cma; france 2030; generative ai; technologies; higher education; 2030; strategy; application; university
PC29,training; chair; digital technologies; brussels; school; task force; artificial; intelligence; artificial intelligence; task; force; technologies; internships; support; boe; research; european; activities; work; module; schools; district; team; teaching; region; international; thematic; vocational; job; educators,housing; stem; learning; data; project; digital transformation; public; transformation; educational; process; law; projects; france; systems; ami; article; anr; government; educational process; france 2030; cma; renovation; 12; energy; protection; expressions; 31; ami cma; digital skills; georgi
PC30,nstda; nrct; learning; director; nstda executive; executive; european; section; director nstda; eu; executive committee; educational; stem; committee; chair; образование; board; online; shall; на; australian; transformation; chairs; criteria; duties; funding; work; distance; process; proposal,за; project; expenses; digital technologies; costs; science; higher; act; science research; higher education; technologies; policy; housing; office; innovation; public; national science; ai; education; innovation policy; org; digital; school; national; payment; hours; doi; czech; education science; law
PC31,за; nstda; обучение; могат; качеството; могат да; ресурси; системи; за обучение; данни; bg; data; управление; на качеството; nrct; learning; възможност; възможност за; онлаин; системи за; унсс; качеството на; обратна; системата; обратна връзка; програми; ии; оценяване; инструменти; виртуални,на; по; граматически; употреба на; употреба; на граматически; процес; ще; език; игра; ситуация; че; трябва; не; български; думи; комуникативна; комуникативна ситуация; технологии; обучението по; трябва да; прилагане на; граматически правила; прилагане; правила; български език; instructional; учениците; но; интернет
PC32,education; task force; anr; task; force; digital transformation; transformation; projects; се; proposals; ministry; на; educators; education training; digital education; digital; chairs; proposal; text; government; training; nstda; evaluation; chair; използване; applications; submitted; org; използване на; https,educational; european; образование; costs; expenses; skills; обучение; research; learning; от; училища; по; technologies; intelligence; brussels; leaders; висшето; waste; educational leaders; технологии; висшето образование; eu; human; commission; use; european commission; висшите; region; висшите училища; artificial
PC33,data; health; aid; care; article; образование; anr; law; training; internships; по; от; digital technologies; intelligence; november 17; 2003 november; 17; school; resolution; artificial; технологии; law 38; обучение; artificial intelligence; accordance; application; proposals; 38 2003; welfare; 38,expenses; се; boe; learning; european; costs; transformation; plan; waste; generative; nrct; economic; eu; nstda; report; economy; 20163; за; cve boe; 2022 20163; boe 2022; boe es; www boe; es; на; project; cve; verifiable; urban; generative ai
PC34,task force; task; force; transformation; образование; digital transformation; project; educators; обучение; intelligence; baseline; artificial; artificial intelligence; 00; university; district; от; висшето; public; висшето образование; urban; target; abstract; keywords; 12; uses; училища; process; current; turkiye,educational; data; health; internships; skills; care; се; discrimination; systems; https; doi; privacy; при; на; digital technologies; doi org; org 10; ai systems; показатели; security; nstda; nrct; org; или; използване; употреба; welfare; https doi; употреба на; граматически
PC35,task force; force; task; educators; learning; students; uses; health; digital; ami; brussels; france; support; cma; data; literacy; ami cma; future; france 2030; expressions; district; ai literacy; human; technological; research; future ami; applications; expressions skills; make; analysis,educational; educational leaders; leaders; education; baseline; housing; training; 00; target; georgi; 30; current; june 30; projects; chair; p173997; chairs; use; use ai; project p173997; june; instructional; stem; republic; strategy; baseline current; module; school; vocational; quality
PC36,education; образование; anr; digital skills; intelligence; higher; artificial intelligence; artificial; higher education; nstda; за; от; project; educational; document; georgi; leaders; recommendations; процес; boe; skills; government; transport; www; stem; committee; bg; educational leaders; australian; use,baseline; 00; target; june 30; june; current; training; students; 30; p173997; project p173997; support; development; baseline current; teachers; org; waste; research; distance; current target; comment baseline; projects; 12; 30 2025; 2024; comment; arch; target june; 2020; date baseline
PC37,обучение; transformation; дистанционно; дистанционно обучение; да; data; digital transformation; форма; дистанционното; на обучение; време; systems; дистанционното обучение; use; health; ai systems; school; intelligence; трябва; project; brussels; качеството; process; трябва да; schools; ще; на качеството; синхронното; artificial; университета,ресурси; aid; дигитални; за; компетентности; generative; образователни; учители; от; learning; chatbots; generative ai; които; технологии; учениците; по; данни; 30; дигитални ресурси; на дигитални; по изкуства; educational; програми; иио; government; изкуства; нови; обучението; skills; evidence
PC38,се; студентите; по изкуства; изкуства; учебни програми; обучението; програми; на студентите; по; нови учебни; унсс; нови; да се; data; обучението на; boe; студентите по; на нови; transformation; трансформация; дигиталната трансформация; учебни; дигиталната; при; internships; качеството; преподавателите; health; процес; дигитални,за; anr; да; georgi; дистанционно обучение; дистанционно; образования; използване на; интернет; използване; трябва; learning; трябва да; bg; системи; ще; обучение; beloev; университет; evidence; граматически; aid; online; университета; на граматически; plamen; hristov; plamen zahariev; zahariev; georgi hristov
PC39,образования; costs; по; use; training; образовательных; для; public; transformation; university; проекта; digital transformation; высшего; expenses; national; высшего образования; цифровых; се; модернизации; технологии; anr; european; сети; ai systems; академическои; академическои сети; educational; chairs; инновационных; ао,evidence; module; housing; skills; education; social; instructional core; обучение; instructional; core; student; boe; strategy; malta; analysis; new; образование; questions; да; points; resolution; students; needs; health; evaluation; трябва; quality; proposed; discussion points; care
PC40,brussels; region; health; project; baseline; care; 00; digital transformation; current; ministry; june 30; p173997; target; project p173997; за; anr; transformation; welfare; economic; policy; european; date; welfare health; expenses; course; poverty; challenges; образование; ai; submitted,housing; public; government; parking; renovation; urban; eu; spaces; mobility; buildings; students; private; rental; social housing; качеството; aid; artificial; intelligence; обучение; artificial intelligence; parking spaces; transport; унсс; road; regulation; zones; energy; facilities; urban development; homes
